Club,Elo,date
Урал,1511,2019-04-28 16:59:29.875005
Stoke,1509,2019-04-28 16:59:29.875005
Астана,1509,2019-04-28 16:59:29.875005
Оренбург,1507,2019-04-28 16:59:29.875005
Vitesse,1507,2019-04-28 16:59:29.875005
Hannover,1506,2019-04-28 16:59:29.875005
Holstein,1505,2019-04-28 16:59:29.875005
Nürnberg,1505,2019-04-28 16:59:29.875005
Zaragoza,1505,2019-04-28 16:59:29.875005
Sturm Graz,1504,2019-04-28 16:59:29.875005
Rangers,1501,2019-04-28 16:59:29.875005
Олександрія,1500,2019-04-28 16:59:29.875005
Tenerife,1500,2019-04-28 16:59:29.875005
Huddersfield,1500,2019-04-28 16:59:29.875005
Amiens,1499,2019-04-28 16:59:29.875005
Paderborn,1499,2019-04-28 16:59:29.875005
Elche,1499,2019-04-28 16:59:29.875005
Fenerbahçe,1498,2019-04-28 16:59:29.875005
Parma,1497,2019-04-28 16:59:29.875005
Troyes,1496,2019-04-28 16:59:29.875005
Anderlecht,1496,2019-04-28 16:59:29.875005
Уфа́,1494,2019-04-28 16:59:29.875005
Las Palmas,1492,2019-04-28 16:59:29.875005
Hull,1492,2019-04-28 16:59:29.875005
Norrköping,1492,2019-04-28 16:59:29.875005
Jablonec,1491,2019-04-28 16:59:29.875005
Guimarães,1491,2019-04-28 16:59:29.875005
Numancia,1490,2019-04-28 16:59:29.875005
Molde,1490,2019-04-28 16:59:29.875005
Heidenheim,1490,2019-04-28 16:59:29.875005
St Truiden,1490,2019-04-28 16:59:29.875005
Kortrijk,1490,2019-04-28 16:59:29.875005
Utrecht,1489,2019-04-28 16:59:29.875005
Birmingham,1489,2019-04-28 16:59:29.875005
Alcorcon,1487,2019-04-28 16:59:29.875005
Brescia,1486,2019-04-28 16:59:29.875005
Dijon,1484,2019-04-28 16:59:29.875005
Заря,1481,2019-04-28 16:59:29.875005
Forest,1480,2019-04-28 16:59:29.875005
Palermo,1479,2019-04-28 16:59:29.875005
Charleroi,1478,2019-04-28 16:59:29.875005
Guingamp,1477,2019-04-28 16:59:29.875005
Extremadura,1475,2019-04-28 16:59:29.875005
Antwerp,1474,2019-04-28 16:59:29.875005
Maribor,1473,2019-04-28 16:59:29.875005
Häcken,1471,2019-04-28 16:59:29.875005
Ατρόμητος,1470,2019-04-28 16:59:29.875005
ЦСКА София,1470,2019-04-28 16:59:29.875005
Le Havre,1468,2019-04-28 16:59:29.875005
Mattersburg,1467,2019-04-28 16:59:29.875005
Moreirense,1466,2019-04-28 16:59:29.875005
Majadahonda,1465,2019-04-28 16:59:29.875005
Frosinone,1465,2019-04-28 16:59:29.875005
Lugo,1465,2019-04-28 16:59:29.875005
Regensburg,1464,2019-04-28 16:59:29.875005
Qarabağ,1464,2019-04-28 16:59:29.875005
Brøndby,1463,2019-04-28 16:59:29.875005
Rosenborg,1462,2019-04-28 16:59:29.875005
Rio Ave,1461,2019-04-28 16:59:29.875005
Osijek,1461,2019-04-28 16:59:29.875005
Groningen,1461,2019-04-28 16:59:29.875005
Blackburn,1459,2019-04-28 16:59:29.875005
Ανόρθωση,1457,2019-04-28 16:59:29.875005
Reus Deportiu,1457,2019-04-28 16:59:29.875005
Craiova,1456,2019-04-28 16:59:29.875005
Millwall,1456,2019-04-28 16:59:29.875005
Bielefeld,1455,2019-04-28 16:59:29.875005
Chievo,1455,2019-04-28 16:59:29.875005
Belenenses,1454,2019-04-28 16:59:29.875005
Wolfsberg,1453,2019-04-28 16:59:29.875005
Austria Wien,1451,2019-04-28 16:59:29.875005
Djurgården,1451,2019-04-28 16:59:29.875005
Ferencváros,1450,2019-04-28 16:59:29.875005
Benevento,1450,2019-04-28 16:59:29.875005
Darmstadt,1449,2019-04-28 16:59:29.875005
Ostersund,1449,2019-04-28 16:59:29.875005
Lugano,1448,2019-04-28 16:59:29.875005
Caen,1448,2019-04-28 16:59:29.875005
Altach,1447,2019-04-28 16:59:29.875005
Крылья Советов,1446,2019-04-28 16:59:29.875005
Sion,1445,2019-04-28 16:59:29.875005
Reading,1445,2019-04-28 16:59:29.875005
Lorient,1444,2019-04-28 16:59:29.875005
Bochum,1444,2019-04-28 16:59:29.875005
Lecce,1444,2019-04-28 16:59:29.875005
Videoton,1441,2019-04-28 16:59:29.875005
Paris FC,1440,2019-04-28 16:59:29.875005
Thun,1439,2019-04-28 16:59:29.875005
